Sl. No.,State/UT,RP (UP) Act  - Cases Registered,RP (UP) Act  - Persons Arrested,RP (UP) Act  - Cases Charge-sheeted,RP (UP) Act  - Persons Charge-sheeted,RP (UP) Act  - Cases Convicted,RP (UP) Act  - Persons Convicted,Indian Railways Act - Cases Registered,Indian Railways Act - Persons Arrested,Indian Railways Act - Cases Charge-sheeted,Indian Railways Act - Persons Charge-sheeted,Indian Railways Act - Cases Convicted,Indian Railways Act - Persons Convicted,Total (Indian Railways Act + RP(UP) Act) - Cases Registered,Total (Indian Railways Act + RP(UP) Act) - Persons Arrested,Total (Indian Railways Act + RP(UP) Act) - Cases Charge-sheeted,Total (Indian Railways Act + RP(UP) Act) - Persons Charge-sheeted,Total (Indian Railways Act + RP(UP) Act) - Cases Convicted,Total (Indian Railways Act + RP(UP) Act) - Persons Convicted
1,Andhra Pradesh,118,210,99,156,62,65,9707,9413,8938,8944,7219,8886,9825,9623,9037,9100,7281,8951
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Assam,101,203,78,175,17,31,2990,2959,2692,2803,1746,1707,3091,3162,2770,2978,1763,1738
4,Bihar,279,410,219,370,21,30,19828,20860,19450,20780,17100,18275,20107,21270,19669,21150,17121,18305
5,Chhattisgarh,204,388,194,374,26,33,13952,13916,13686,13623,13281,13342,14156,14304,13880,13997,13307,13375
6,Goa,0,0,0,0,0,0,433,433,433,414,410,411,433,433,433,414,410,411
7,Gujarat,161,454,147,418,72,189,49426,49382,46544,47639,47357,47432,49587,49836,46691,48057,47429,47621
8,Haryana,142,223,95,207,41,21,5076,4199,3327,3337,3210,3227,5218,4422,3422,3544,3251,3248
9,Himachal Pradesh,3,2,2,2,1,0,80,61,34,34,32,32,83,63,36,36,33,32
10,Jharkhand,262,380,204,315,21,29,12961,13271,11702,13152,12301,12747,13223,13651,11906,13467,12322,12776
11,Karnataka,96,210,64,143,19,34,21148,21130,20714,20855,20039,20109,21244,21340,20778,20998,20058,20143
12,Kerala,53,80,52,52,28,28,15084,15109,15084,15109,14463,14463,15137,15189,15136,15161,14491,14491
13,Madhya Pradesh,357,989,235,676,23,52,33625,33418,29716,29726,28655,28683,33982,34407,29951,30402,28678,28735
14,Maharashtra,508,1081,348,857,100,177,96140,95499,93924,93925,92696,92690,96648,96580,94272,94782,92796,92867
15,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Nagaland,2,2,0,0,0,0,155,178,151,178,151,178,157,180,151,178,151,178
19,Odisha,218,476,132,270,7,16,8474,8276,7710,7410,6928,7006,8692,8752,7842,7680,6935,7022
20,Punjab,239,469,177,384,38,125,4765,4155,3715,3718,3593,3595,5004,4624,3892,4102,3631,3720
21,Rajasthan,177,360,117,259,19,31,20193,20026,18341,18387,18108,18134,20370,20386,18458,18646,18127,18165
22,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Tamil Nadu,176,280,167,168,52,53,18471,18407,18410,18348,16723,16724,18647,18687,18577,18516,16775,16777
24,Telangana,157,220,128,198,29,36,3547,4310,2284,2707,2157,2593,3704,4530,2412,2905,2186,2629
25,Tripura,5,5,5,5,0,0,69,61,69,69,32,30,74,66,74,74,32,30
26,Uttar Pradesh,733,1188,552,1038,148,215,42818,41487,40261,39654,36927,37019,43551,42675,40813,40692,37075,37234
27,Uttarakhand,50,88,47,86,13,14,955,904,895,867,829,822,1005,992,942,953,842,836
28,West Bengal,321,511,263,438,20,14,29828,36440,29534,35623,25917,32454,30149,36951,29797,36061,25937,32468
29,Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Chandigarh,11,32,3,11,0,0,174,144,97,97,74,74,185,176,100,108,74,74
31,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Delhi,270,264,142,255,51,38,8422,7486,5130,5227,5131,5171,8692,7750,5272,5482,5182,5209
33,Jammu and Kashmir,7,12,6,12,4,10,929,906,886,886,886,886,936,918,892,898,890,896
34,Ladakh ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,2,5,2,2,0,0,125,122,125,122,121,121,127,127,127,124,121,121

