Sl. No.,State/UT,RP (UP) Act - Cases Registered,RP (UP) Act - Persons Arrested,RP (UP) Act - Cases Charge-sheeted,RP (UP) Act - Persons Charge-sheeted,RP (UP) Act - Cases Convicted,RP (UP) Act - Persons Convicted,Indian Railways Act - Cases Registered,Indian Railways Act - Persons Arrested,Indian Railways Act - Cases Charge-sheeted,Indian Railways Act - Persons Charge-sheeted,Indian Railways Act - Cases Convicted,Indian Railways Act - Persons Convicted,Total (Indian Railways Act + RP(UP) Act) - Cases Registered,Total (Indian Railways Act + RP(UP) Act) - Persons Arrested,Total (Indian Railways Act + RP(UP) Act) - Cases Charge-sheeted,Total (Indian Railways Act + RP(UP) Act) - Persons Charge-sheeted,Total (Indian Railways Act + RP(UP) Act) - Cases Convicted,Total (Indian Railways Act + RP(UP) Act) - Persons Convicted
1,Andhra Pradesh,146,297,120,206,50,63,15735,14776,14411,13410,12469,12564,15881,15073,14531,13616,12519,12627
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Assam,116,218,101,193,14,20,4405,4460,4344,4447,3449,3598,4521,4678,4445,4640,3463,3618
4,Bihar,377,656,319,614,17,20,43381,45945,42507,45677,38862,41157,43758,46601,42826,46291,38879,41177
5,Chhattisgarh,272,554,246,533,47,61,29108,29089,28819,29166,28575,28620,29380,29643,29065,29699,28622,28681
6,Goa,6,11,2,3,0,0,580,575,572,573,567,568,586,586,574,576,567,568
7,Gujarat,278,731,210,556,137,382,80068,80041,78510,78439,73861,73895,80346,80772,78720,78995,73998,74277
8,Haryana,180,263,114,227,75,108,7111,6032,6045,6248,6356,6276,7291,6295,6159,6475,6431,6384
9,Himachal Pradesh,7,10,3,6,5,9,43,40,44,43,71,90,50,50,47,49,76,99
10,Jharkhand,295,519,236,425,55,79,46107,46285,45929,46172,45684,45928,46402,46804,46165,46597,45739,46007
11,Karnataka,100,235,58,137,28,61,24595,24592,24093,24126,23743,23778,24695,24827,24151,24263,23771,23839
12,Kerala,72,121,72,121,44,44,22616,22668,22616,22668,22302,22302,22688,22789,22688,22789,22346,22346
13,Madhya Pradesh,467,985,337,719,27,42,59519,59468,54099,54031,53567,53691,59986,60453,54436,54750,53594,53733
14,Maharashtra,675,1593,590,1520,235,3491,145946,145221,143507,143407,142152,142220,146621,146814,144097,144927,142387,145711
15,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Nagaland,6,8,6,8,6,8,218,230,218,230,218,230,224,238,224,238,224,238
19,Odisha,324,604,186,344,8,9,21966,21946,21132,21317,20823,20850,22290,22550,21318,21661,20831,20859
20,Punjab,347,620,291,485,203,372,10056,9352,8652,8625,8563,8551,10403,9972,8943,9110,8766,8923
21,Rajasthan,177,465,142,376,18,26,29187,29186,28736,28833,28522,28572,29364,29651,28878,29209,28540,28598
22,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Tamil Nadu,298,491,277,486,92,92,31403,31314,31393,31304,29402,29402,31701,31805,31670,31790,29494,29494
24,Telangana,185,376,176,359,75,92,10678,10482,10345,9108,6482,9334,10863,10858,10521,9467,6557,9426
25,Tripura,12,19,11,16,1,4,111,112,109,111,36,41,123,131,120,127,37,45
26,Uttar Pradesh,908,1603,687,1226,399,535,54244,53288,52308,50900,44461,44413,55152,54891,52995,52126,44860,44948
27,Uttarakhand,74,132,61,134,46,83,1534,1460,1455,1407,1379,1388,1608,1592,1516,1541,1425,1471
28,West Bengal,357,649,278,550,12,25,56418,66094,56031,65170,52913,62201,56775,66743,56309,65720,52925,62226
29,Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Chandigarh,19,27,11,20,8,15,245,185,238,238,255,255,264,212,249,258,263,270
31,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Delhi,218,227,134,216,71,114,13207,12611,11752,13597,13871,13548,13425,12838,11886,13813,13942,13662
33,Jammu and Kashmir,25,42,16,39,10,22,2817,2809,2776,2785,2768,2769,2842,2851,2792,2824,2778,2791
34,Ladakh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,4,8,4,8,1,1,85,85,85,85,85,85,89,93,89,93,86,86
