Zonal,No. of incidents of crimes in trains registered - Year,No. of incidents of crimes in trains registered - Theft of passengers’ belongings,No. of incidents of crimes in trains registered - Robbery,No. of incidents of crimes in trains registered - Dacoity,No. of incidents of crimes in trains registered - Crime against women passengers
Central,2014,1747,214,10,75
Central,2015,2260,311,4,135
Central,2016,2874,71,11,147
Eastern,2014,451,6,7,33
Eastern,2015,557,11,2,31
Eastern,2016,508,6,2,32
East Central,2014,740,9,15,19
East Central,2015,773,14,12,24
East Central,2016,1022,6,6,24
East Coast,2014,393,6,0,5
East Coast,2015,435,9,11,5
East Coast,2016,552,5,2,3
Northern,2014,1700,41,9,75
Northern,2015,3086,138,9,95
Northern,2016,3356,98,3,113
North Central,2014,357,4,4,13
North Central,2015,746,29,4,14
North Central,2016,802,42,2,15
North Eastern,2014,189,3,3,2
North Eastern,2015,403,22,1,11
North Eastern,2016,431,53,5,18
Northeast Frontier,2014,158,1,2,12
Northeast Frontier,2015,143,0,1,9
Northeast Frontier,2016,220,3,0,12
North Western,2014,506,3,1,12
North Western,2015,502,0,0,20
North Western,2016,419,4,1,15
Southern,2014,492,25,0,84
Southern,2015,596,36,2,66
Southern,2016,427,27,0,57
South Central,2014,1382,27,2,17
South Central,2015,1665,33,0,17
South Central,2016,1728,51,0,16
South Eastern,2014,262,4,2,7
South Eastern,2015,272,4,1,5
South Eastern,2016,465,3,1,7
South East Central,2014,243,5,3,5
South East Central,2015,379,13,0,6
South East Central,2016,537,9,0,8
South Western,2014,342,51,1,2
South Western,2015,312,57,1,4
South Western,2016,444,38,1,2
Western,2014,1244,91,2,56
Western,2015,1886,80,7,66
Western,2016,1812,50,2,79
West Central,2014,1955,27,2,31
West Central,2015,2165,48,2,45
West Central,2016,2328,65,4,58
