Sl. No.,State/UT,Indian Railways Act - Cases Registered,Indian Railways Act - Persons Arrested,Total (Indian Railways Act + RP(UP) Act) - Cases Registered,Total (Indian Railways Act + RP(UP) Act) - Persons Arrested,YEAR
1,Andhra Pradesh,9707.0,9413.0,9825,9623,2021
2,Arunachal Pradesh,0.0,0.0,0,0,2021
3,Assam,2990.0,2959.0,3091,3162,2021
4,Bihar,19828.0,20860.0,20107,21270,2021
5,Chhattisgarh,13952.0,13916.0,14156,14304,2021
6,Goa,433.0,433.0,433,433,2021
7,Gujarat,49426.0,49382.0,49587,49836,2021
8,Haryana,5076.0,4199.0,5218,4422,2021
9,Himachal Pradesh,80.0,61.0,83,63,2021
10,Jharkhand,12961.0,13271.0,13223,13651,2021
11,Karnataka,21148.0,21130.0,21244,21340,2021
12,Kerala,15084.0,15109.0,15137,15189,2021
13,Madhya Pradesh,33625.0,33418.0,33982,34407,2021
14,Maharashtra,96140.0,95499.0,96648,96580,2021
15,Manipur,0.0,0.0,0,0,2021
16,Meghalaya,0.0,0.0,0,0,2021
17,Mizoram,0.0,0.0,0,0,2021
18,Nagaland,155.0,178.0,157,180,2021
19,Odisha,8474.0,8276.0,8692,8752,2021
20,Punjab,4765.0,4155.0,5004,4624,2021
21,Rajasthan,20193.0,20026.0,20370,20386,2021
22,Sikkim,0.0,0.0,0,0,2021
23,Tamil Nadu,18471.0,18407.0,18647,18687,2021
24,Telangana,3547.0,4310.0,3704,4530,2021
25,Tripura,69.0,61.0,74,66,2021
26,Uttar Pradesh,42818.0,41487.0,43551,42675,2021
27,Uttarakhand,955.0,904.0,1005,992,2021
28,West Bengal,29828.0,36440.0,30149,36951,2021
29,Andaman and Nicobar Islands,0.0,0.0,0,0,2021
30,Chandigarh,174.0,144.0,185,176,2021
31,Dadra and Nagar Haveli and Daman and Diu,0.0,0.0,0,0,2021
32,Delhi,8422.0,7486.0,8692,7750,2021
33,Jammu and Kashmir,929.0,906.0,936,918,2021
34,Ladakh ,,,0,0,2021
35,Lakshadweep,0.0,0.0,0,0,2021
36,Puducherry,125.0,122.0,127,127,2021
1,Andhra Pradesh,15735.0,14776.0,15881,15073,2022
2,Arunachal Pradesh,0.0,0.0,0,0,2022
3,Assam,4405.0,4460.0,4521,4678,2022
4,Bihar,43381.0,45945.0,43758,46601,2022
5,Chhattisgarh,29108.0,29089.0,29380,29643,2022
6,Goa,580.0,575.0,586,586,2022
7,Gujarat,80068.0,80041.0,80346,80772,2022
8,Haryana,7111.0,6032.0,7291,6295,2022
9,Himachal Pradesh,43.0,40.0,50,50,2022
10,Jharkhand,46107.0,46285.0,46402,46804,2022
11,Karnataka,24595.0,24592.0,24695,24827,2022
12,Kerala,22616.0,22668.0,22688,22789,2022
13,Madhya Pradesh,59519.0,59468.0,59986,60453,2022
14,Maharashtra,145946.0,145221.0,146621,146814,2022
15,Manipur,0.0,0.0,0,0,2022
16,Meghalaya,0.0,0.0,0,0,2022
17,Mizoram,0.0,0.0,0,0,2022
18,Nagaland,218.0,230.0,224,238,2022
19,Odisha,21966.0,21946.0,22290,22550,2022
20,Punjab,10056.0,9352.0,10403,9972,2022
21,Rajasthan,29187.0,29186.0,29364,29651,2022
22,Sikkim,0.0,0.0,0,0,2022
23,Tamil Nadu,31403.0,31314.0,31701,31805,2022
24,Telangana,10678.0,10482.0,10863,10858,2022
25,Tripura,111.0,112.0,123,131,2022
26,Uttar Pradesh,54244.0,53288.0,55152,54891,2022
27,Uttarakhand,1534.0,1460.0,1608,1592,2022
28,West Bengal,56418.0,66094.0,56775,66743,2022
29,Andaman and Nicobar Islands,0.0,0.0,0,0,2022
30,Chandigarh,245.0,185.0,264,212,2022
31,Dadra and Nagar Haveli and Daman and Diu,0.0,0.0,0,0,2022
32,Delhi,13207.0,12611.0,13425,12838,2022
33,Jammu and Kashmir,2817.0,2809.0,2842,2851,2022
34,Ladakh ,0.0,0.0,0,0,2022
35,Lakshadweep,0.0,0.0,0,0,2022
36,Puducherry,85.0,85.0,89,93,2022
