State/UT,Arrested_2021,Arrested_2022,Women_crime_arrested_2019
Andaman and Nicobar Islands,0,0,6.5
Andhra Pradesh,9623,15073,12.0
Arunachal Pradesh,0,0,0.75
Assam,3162,4678,0.75
Bihar,21270,46601,6.5
Chandigarh,176,212,5.375
Chhattisgarh,14304,29643,9.0
Dadra and Nagar Haveli and Daman and Diu,0,0,28.5
Delhi,7750,12838,5.375
Goa,433,586,1.0
Gujarat,49836,80772,28.5
Haryana,4422,6295,5.375
Himachal Pradesh,63,50,5.375
Jammu and Kashmir,918,2851,5.375
Jharkhand,13651,46804,6.5
Karnataka,21340,24827,1.0
Kerala,15189,22789,33.0
Ladakh ,0,0,5.375
Lakshadweep,0,0,33.0
Madhya Pradesh,34407,60453,18.0
Maharashtra,96580,146814,127.0
Manipur,0,0,0.75
Meghalaya,0,0,0.75
Mizoram,0,0,0.75
Nagaland,180,238,0.75
Odisha,8752,22550,6.0
Puducherry,127,93,33.0
Punjab,4624,9972,5.375
Rajasthan,20386,29651,20.0
Sikkim,0,0,0.75
Tamil Nadu,18687,31805,33.0
Telangana,4530,10858,12.0
Tripura,66,131,0.75
Uttar Pradesh,42675,54891,31.0
Uttarakhand,992,1592,5.375
West Bengal,36951,66743,6.5
