State/UT,Arrested_2021,Arrested_2022,Women_crime_arrested_2019,Predicted_Arrested_2023
Andaman and Nicobar Islands,0,0,6.5,0
Andhra Pradesh,9623,15073,12.0,15897
Arunachal Pradesh,0,0,0.75,0
Assam,3162,4678,0.75,5255
Bihar,21270,46601,6.5,44868
Chandigarh,176,212,5.375,214
Chhattisgarh,14304,29643,9.0,29576
Dadra and Nagar Haveli and Daman and Diu,0,0,28.5,0
Delhi,7750,12838,5.375,13111
Goa,433,586,1.0,453
Gujarat,49836,80772,28.5,74398
Haryana,4422,6295,5.375,6482
Himachal Pradesh,63,50,5.375,56
Jammu and Kashmir,918,2851,5.375,2486
Jharkhand,13651,46804,6.5,44120
Karnataka,21340,24827,1.0,25540
Kerala,15189,22789,33.0,24695
Ladakh ,0,0,5.375,0
Lakshadweep,0,0,33.0,0
Madhya Pradesh,34407,60453,18.0,60180
Maharashtra,96580,146814,127.0,118334
Manipur,0,0,0.75,0
Meghalaya,0,0,0.75,0
Mizoram,0,0,0.75,0
Nagaland,180,238,0.75,217
Odisha,8752,22550,6.0,21402
Puducherry,127,93,33.0,112
Punjab,4624,9972,5.375,9962
Rajasthan,20386,29651,20.0,29683
Sikkim,0,0,0.75,0
Tamil Nadu,18687,31805,33.0,30571
Telangana,4530,10858,12.0,10618
Tripura,66,131,0.75,113
Uttar Pradesh,42675,54891,31.0,57793
Uttarakhand,992,1592,5.375,1526
West Bengal,36951,66743,6.5,64247
