State/UT,Arrested_2021,Arrested_2022,Women_crime_arrested_2019,Predicted_Arrested_2023,Predicted_Arrested_2024
Andaman and Nicobar Islands,0,0,6.5,0,0
Andhra Pradesh,9623,15073,12.0,15897,16271
Arunachal Pradesh,0,0,0.75,0,0
Assam,3162,4678,0.75,5255,5711
Bihar,21270,46601,6.5,44868,42547
Chandigarh,176,212,5.375,214,217
Chhattisgarh,14304,29643,9.0,29576,28899
Dadra and Nagar Haveli and Daman and Diu,0,0,28.5,0,0
Delhi,7750,12838,5.375,13111,13412
Goa,433,586,1.0,453,363
Gujarat,49836,80772,28.5,74398,69901
Haryana,4422,6295,5.375,6482,7098
Himachal Pradesh,63,50,5.375,56,47
Jammu and Kashmir,918,2851,5.375,2486,2030
Jharkhand,13651,46804,6.5,44120,41790
Karnataka,21340,24827,1.0,25540,25945
Kerala,15189,22789,33.0,24695,26301
Ladakh ,0,0,5.375,0,0
Lakshadweep,0,0,33.0,0,0
Madhya Pradesh,34407,60453,18.0,60180,61678
Maharashtra,96580,146814,127.0,118334,99204
Manipur,0,0,0.75,0,0
Meghalaya,0,0,0.75,0,0
Mizoram,0,0,0.75,0,0
Nagaland,180,238,0.75,217,210
Odisha,8752,22550,6.0,21402,20836
Puducherry,127,93,33.0,112,132
Punjab,4624,9972,5.375,9962,9833
Rajasthan,20386,29651,20.0,29683,29269
Sikkim,0,0,0.75,0,0
Tamil Nadu,18687,31805,33.0,30571,29893
Telangana,4530,10858,12.0,10618,10525
Tripura,66,131,0.75,113,105
Uttar Pradesh,42675,54891,31.0,57793,60728
Uttarakhand,992,1592,5.375,1526,1607
West Bengal,36951,66743,6.5,64247,62753
