State/UT,Arrested_2021,Arrested_2022
Andaman and Nicobar Islands,0,0
Andhra Pradesh,9623,15073
Arunachal Pradesh,0,0
Assam,3162,4678
Bihar,21270,46601
Chandigarh,176,212
Chhattisgarh,14304,29643
Dadra and Nagar Haveli and Daman and Diu,0,0
Delhi,7750,12838
Goa,433,586
Gujarat,49836,80772
Haryana,4422,6295
Himachal Pradesh,63,50
Jammu and Kashmir,918,2851
Jharkhand,13651,46804
Karnataka,21340,24827
Kerala,15189,22789
Ladakh ,0,0
Lakshadweep,0,0
Madhya Pradesh,34407,60453
Maharashtra,96580,146814
Manipur,0,0
Meghalaya,0,0
Mizoram,0,0
Nagaland,180,238
Odisha,8752,22550
Puducherry,127,93
Punjab,4624,9972
Rajasthan,20386,29651
Sikkim,0,0
Tamil Nadu,18687,31805
Telangana,4530,10858
Tripura,66,131
Uttar Pradesh,42675,54891
Uttarakhand,992,1592
West Bengal,36951,66743
