State/UT,Theft of Passenger's belongings,Robbery,Dacoity,Crime against Women Passengers,Other Crimes,YEAR
Maharashtra,24672.0,900.0,7.0,127.0,588.0,2019
West Bengal,161.5,4.5,0.5,6.5,12.0,2019
Andaman and Nicobar Islands,161.5,4.5,0.5,6.5,12.0,2019
Bihar,542.5,3.0,3.0,6.5,7.5,2019
Jharkhand,542.5,3.0,3.0,6.5,7.5,2019
Odisha,683.0,23.0,2.0,6.0,28.0,2019
Haryana,217.0,4.125,0.875,5.375,509.375,2019
Himachal Pradesh,217.0,4.125,0.875,5.375,509.375,2019
Punjab,217.0,4.125,0.875,5.375,509.375,2019
Uttarakhand,217.0,4.125,0.875,5.375,509.375,2019
Chandigarh,217.0,4.125,0.875,5.375,509.375,2019
Delhi,217.0,4.125,0.875,5.375,509.375,2019
Jammu and Kashmir,217.0,4.125,0.875,5.375,509.375,2019
Ladakh ,217.0,4.125,0.875,5.375,509.375,2019
Uttar Pradesh,1853.0,19.0,2.0,31.0,36.0,2019
Arunachal Pradesh,15.875,0.0,0.0,0.75,2.375,2019
Assam,15.875,0.0,0.0,0.75,2.375,2019
Manipur,15.875,0.0,0.0,0.75,2.375,2019
Meghalaya,15.875,0.0,0.0,0.75,2.375,2019
Mizoram,15.875,0.0,0.0,0.75,2.375,2019
Nagaland,15.875,0.0,0.0,0.75,2.375,2019
Sikkim,15.875,0.0,0.0,0.75,2.375,2019
Tripura,15.875,0.0,0.0,0.75,2.375,2019
Rajasthan,717.0,3.0,0.0,20.0,72.0,2019
Kerala,948.75,42.0,0.5,33.0,209.0,2019
Tamil Nadu,948.75,42.0,0.5,33.0,209.0,2019
Lakshadweep,948.75,42.0,0.5,33.0,209.0,2019
Puducherry,948.75,42.0,0.5,33.0,209.0,2019
Andhra Pradesh,1249.0,22.5,1.0,12.0,21.0,2019
Telangana,1249.0,22.5,1.0,12.0,21.0,2019
Chhattisgarh,1004.0,1.0,1.0,9.0,70.0,2019
Goa,245.5,3.5,1.0,1.0,2.5,2019
Karnataka,245.5,3.5,1.0,1.0,2.5,2019
Gujarat,5283.0,209.5,0.5,28.5,48.0,2019
Dadra and Nagar Haveli and Daman and Diu,5283.0,209.5,0.5,28.5,48.0,2019
Madhya Pradesh,3153.0,18.0,0.0,18.0,147.0,2019
